visit_id,member_id,visit_date,check_in_time,check_out_time
102,275,04-01-2024,07:18:00,07:48:00
103,273,04-01-2024,08:02:00,08:27:00
104,180,04-01-2024,08:24:00,08:49:00
105,256,04-01-2024,09:59:00,10:34:00
106,93,04-01-2024,06:18:00,06:43:00
107,80,04-01-2024,06:02:00,06:47:00
108,285,04-01-2024,07:54:00,08:49:00
109,478,04-01-2024,08:57:00,09:52:00
110,268,04-01-2024,06:51:00,07:26:00
111,132,04-01-2024,08:09:00,09:04:00
112,510,04-01-2024,09:09:00,10:04:00
113,549,04-01-2024,09:57:00,10:32:00
114,589,05-01-2024,08:20:00,09:15:00
115,270,05-01-2024,09:47:00,10:42:00
116,321,05-01-2024,07:46:00,08:41:00
117,424,05-01-2024,07:37:00,08:32:00
118,411,05-01-2024,06:24:00,06:59:00
119,637,05-01-2024,06:46:00,07:11:00
120,106,05-01-2024,06:12:00,06:47:00
121,297,05-01-2024,08:13:00,09:08:00
122,402,05-01-2024,06:19:00,06:44:00
123,510,05-01-2024,07:50:00,08:35:00
124,303,05-01-2024,06:51:00,07:16:00
125,329,05-01-2024,09:07:00,09:37:00
126,452,05-01-2024,05:16:00,05:46:00
127,226,05-01-2024,08:02:00,08:47:00
128,357,05-01-2024,09:43:00,10:08:00
129,56,05-01-2024,08:42:00,09:17:00
130,115,05-01-2024,07:15:00,08:10:00
131,172,05-01-2024,08:43:00,09:08:00
132,641,05-01-2024,09:11:00,09:46:00
133,256,05-01-2024,09:32:00,09:57:00
134,123,05-01-2024,06:04:00,06:34:00
135,539,05-01-2024,07:56:00,08:41:00
136,165,05-01-2024,09:06:00,09:51:00
137,603,05-01-2024,06:46:00,07:16:00
138,349,05-01-2024,07:41:00,08:06:00
139,314,05-01-2024,07:52:00,08:47:00
140,270,05-01-2024,07:10:00,07:45:00
141,342,06-01-2024,06:45:00,07:30:00
142,398,06-01-2024,07:33:00,08:03:00
143,578,06-01-2024,09:14:00,09:49:00
144,418,06-01-2024,06:33:00,07:18:00
145,221,06-01-2024,06:47:00,07:17:00
146,98,06-01-2024,08:29:00,09:14:00
147,34,06-01-2024,08:19:00,09:04:00
148,551,06-01-2024,06:59:00,07:29:00
149,383,06-01-2024,06:29:00,06:54:00
150,461,06-01-2024,07:17:00,07:47:00
151,350,06-01-2024,07:14:00,07:59:00
152,572,06-01-2024,06:06:00,07:01:00
153,640,06-01-2024,05:05:00,05:40:00
154,264,06-01-2024,09:22:00,10:07:00
155,403,06-01-2024,09:57:00,10:52:00
156,61,06-01-2024,08:06:00,09:01:00
157,305,06-01-2024,09:08:00,09:53:00
158,415,06-01-2024,09:28:00,10:23:00
159,307,06-01-2024,06:35:00,07:30:00
160,209,06-01-2024,07:45:00,08:20:00
161,603,06-01-2024,09:57:00,10:42:00
162,461,06-01-2024,06:12:00,06:57:00
163,394,07-01-2024,07:41:00,08:26:00
164,503,07-01-2024,06:35:00,07:30:00
165,494,07-01-2024,08:08:00,08:38:00
166,638,07-01-2024,06:13:00,06:48:00
167,113,07-01-2024,06:20:00,06:45:00
168,254,07-01-2024,07:43:00,08:18:00
169,424,07-01-2024,06:40:00,07:10:00
170,506,07-01-2024,08:11:00,08:46:00
171,382,07-01-2024,08:09:00,08:39:00
172,332,07-01-2024,06:51:00,07:16:00
173,494,07-01-2024,05:24:00,06:09:00
174,483,07-01-2024,08:46:00,09:21:00
175,87,07-01-2024,06:40:00,07:05:00
176,572,07-01-2024,07:58:00,08:53:00
177,23,07-01-2024,07:05:00,07:50:00
178,646,07-01-2024,06:34:00,07:19:00
179,295,07-01-2024,09:22:00,09:57:00
180,404,07-01-2024,07:42:00,08:12:00
181,98,07-01-2024,09:30:00,09:55:00
182,428,07-01-2024,07:05:00,07:50:00
183,475,07-01-2024,07:03:00,07:48:00
184,302,07-01-2024,08:48:00,09:23:00
185,600,07-01-2024,06:29:00,07:14:00
186,474,07-01-2024,06:15:00,06:45:00
187,581,07-01-2024,08:05:00,08:40:00
188,496,07-01-2024,08:46:00,09:31:00
189,589,08-01-2024,07:56:00,08:21:00
190,111,08-01-2024,07:30:00,07:55:00
191,506,08-01-2024,06:27:00,07:02:00
192,79,08-01-2024,08:28:00,09:13:00
193,233,08-01-2024,07:41:00,08:26:00
194,589,08-01-2024,06:01:00,06:46:00
195,113,08-01-2024,08:07:00,08:52:00
196,213,08-01-2024,10:00:00,10:35:00
197,315,08-01-2024,09:28:00,10:13:00
198,516,08-01-2024,06:04:00,06:39:00
199,60,08-01-2024,05:19:00,05:54:00
200,450,08-01-2024,05:29:00,06:14:00
201,267,08-01-2024,07:30:00,08:05:00
202,313,08-01-2024,06:51:00,07:46:00
203,532,08-01-2024,05:28:00,06:23:00
204,301,08-01-2024,09:19:00,09:54:00
205,233,08-01-2024,06:25:00,07:00:00
206,542,08-01-2024,05:51:00,06:26:00
207,53,08-01-2024,08:01:00,08:46:00
208,304,08-01-2024,05:50:00,06:35:00
209,129,08-01-2024,07:35:00,08:05:00
210,421,08-01-2024,06:17:00,06:42:00
211,247,09-01-2024,08:57:00,09:27:00
212,237,09-01-2024,09:28:00,09:58:00
213,581,09-01-2024,08:55:00,09:30:00
214,627,09-01-2024,07:30:00,08:05:00
215,604,09-01-2024,08:46:00,09:21:00
216,23,09-01-2024,09:47:00,10:22:00
217,79,09-01-2024,08:22:00,09:17:00
218,123,09-01-2024,05:58:00,06:43:00
219,282,09-01-2024,07:35:00,08:05:00
220,465,09-01-2024,09:32:00,10:27:00
221,310,09-01-2024,05:44:00,06:14:00
222,637,09-01-2024,05:24:00,05:59:00
223,483,09-01-2024,08:20:00,09:05:00
224,325,09-01-2024,07:25:00,08:00:00
225,487,09-01-2024,06:21:00,06:51:00
226,29,09-01-2024,06:47:00,07:17:00
227,414,09-01-2024,09:08:00,09:53:00
228,480,09-01-2024,06:13:00,06:38:00
229,541,09-01-2024,08:43:00,09:38:00
230,32,09-01-2024,08:53:00,09:28:00
231,503,09-01-2024,07:45:00,08:15:00
232,455,09-01-2024,09:38:00,10:08:00
233,345,09-01-2024,07:51:00,08:36:00
234,281,09-01-2024,05:51:00,06:36:00
235,190,09-01-2024,06:30:00,07:05:00
236,527,09-01-2024,09:43:00,10:18:00
237,448,09-01-2024,07:17:00,07:47:00
238,617,09-01-2024,07:43:00,08:08:00
239,531,09-01-2024,06:05:00,06:30:00
240,123,10-01-2024,06:02:00,06:27:00
241,219,10-01-2024,07:50:00,08:45:00
242,244,10-01-2024,07:05:00,07:35:00
243,592,10-01-2024,09:09:00,09:54:00
244,568,10-01-2024,09:12:00,09:37:00
245,491,10-01-2024,06:08:00,06:38:00
246,104,10-01-2024,08:06:00,08:36:00
247,282,10-01-2024,05:11:00,05:46:00
248,203,10-01-2024,06:26:00,07:21:00
249,274,10-01-2024,05:23:00,06:08:00
250,560,10-01-2024,09:02:00,09:47:00
251,103,10-01-2024,07:46:00,08:31:00
252,293,10-01-2024,07:28:00,08:13:00
253,137,10-01-2024,06:38:00,07:13:00
254,237,10-01-2024,09:51:00,10:16:00
255,376,10-01-2024,06:08:00,07:03:00
256,284,10-01-2024,07:27:00,07:57:00
257,467,10-01-2024,07:30:00,08:05:00
258,560,10-01-2024,09:13:00,09:38:00
259,646,10-01-2024,09:33:00,10:18:00
260,27,11-01-2024,06:02:00,06:37:00
261,173,11-01-2024,06:45:00,07:30:00
262,595,11-01-2024,06:28:00,06:58:00
263,619,11-01-2024,07:52:00,08:27:00
264,217,11-01-2024,05:27:00,06:02:00
265,89,11-01-2024,09:00:00,09:55:00
266,516,11-01-2024,09:15:00,09:50:00
267,463,11-01-2024,05:38:00,06:23:00
268,583,11-01-2024,06:40:00,07:25:00
269,416,11-01-2024,08:34:00,09:19:00
270,21,11-01-2024,06:40:00,07:35:00
271,379,11-01-2024,06:02:00,06:57:00
272,373,11-01-2024,08:36:00,09:21:00
273,489,11-01-2024,07:14:00,08:09:00
274,440,11-01-2024,06:44:00,07:39:00
275,591,11-01-2024,06:45:00,07:40:00
276,188,11-01-2024,08:06:00,08:51:00
277,400,11-01-2024,07:38:00,08:33:00
278,188,11-01-2024,06:39:00,07:14:00
279,465,11-01-2024,09:37:00,10:12:00
280,281,11-01-2024,08:28:00,09:13:00
281,603,11-01-2024,08:24:00,09:09:00
282,22,11-01-2024,05:47:00,06:42:00
283,512,11-01-2024,07:55:00,08:50:00
284,474,11-01-2024,05:49:00,06:34:00
285,230,11-01-2024,05:12:00,05:47:00
286,532,11-01-2024,08:18:00,08:53:00
287,606,12-01-2024,09:19:00,09:54:00
288,467,12-01-2024,07:06:00,07:51:00
289,371,12-01-2024,05:24:00,05:54:00
290,496,12-01-2024,08:47:00,09:42:00
291,375,12-01-2024,08:46:00,09:31:00
292,158,12-01-2024,09:17:00,09:42:00
293,222,12-01-2024,06:28:00,06:53:00
294,295,12-01-2024,05:58:00,06:28:00
295,269,12-01-2024,07:07:00,07:32:00
296,486,12-01-2024,06:21:00,07:16:00
297,400,12-01-2024,08:41:00,09:11:00
298,305,12-01-2024,09:56:00,10:26:00
299,413,12-01-2024,06:42:00,07:17:00
300,220,12-01-2024,05:06:00,05:36:00
301,397,12-01-2024,05:12:00,05:42:00
302,172,12-01-2024,09:23:00,10:18:00
303,487,12-01-2024,08:54:00,09:49:00
304,394,12-01-2024,07:28:00,08:03:00
305,554,12-01-2024,07:51:00,08:46:00
306,635,12-01-2024,07:00:00,07:30:00
307,415,12-01-2024,08:56:00,09:41:00
308,175,12-01-2024,09:21:00,09:46:00
309,641,12-01-2024,06:48:00,07:33:00
310,572,12-01-2024,09:02:00,09:32:00
311,430,12-01-2024,05:01:00,05:46:00
312,273,12-01-2024,07:36:00,08:21:00
313,55,12-01-2024,06:28:00,06:58:00
314,35,12-01-2024,09:30:00,10:25:00
315,360,12-01-2024,06:14:00,06:49:00
316,507,12-01-2024,07:16:00,08:01:00
317,570,13-01-2024,06:19:00,06:49:00
318,477,13-01-2024,09:54:00,10:29:00
319,75,13-01-2024,08:05:00,08:50:00
320,574,13-01-2024,08:07:00,08:32:00
321,35,13-01-2024,05:21:00,05:46:00
322,206,13-01-2024,07:07:00,07:32:00
323,455,13-01-2024,09:56:00,10:26:00
324,70,13-01-2024,09:27:00,10:12:00
325,427,13-01-2024,07:09:00,07:44:00
326,135,13-01-2024,05:23:00,05:53:00
327,71,13-01-2024,05:03:00,05:58:00
328,504,13-01-2024,07:03:00,07:28:00
329,347,13-01-2024,08:43:00,09:13:00
330,546,13-01-2024,07:39:00,08:09:00
331,56,13-01-2024,09:05:00,09:30:00
332,166,13-01-2024,09:02:00,09:47:00
333,38,13-01-2024,06:20:00,06:45:00
334,453,13-01-2024,09:20:00,09:50:00
335,544,13-01-2024,06:59:00,07:44:00
336,167,13-01-2024,09:06:00,09:41:00
337,454,13-01-2024,06:41:00,07:16:00
338,585,13-01-2024,05:35:00,06:05:00
339,261,13-01-2024,07:34:00,07:59:00
340,590,13-01-2024,07:37:00,08:12:00
341,520,13-01-2024,09:20:00,09:55:00
342,296,13-01-2024,08:37:00,09:07:00
343,341,13-01-2024,08:53:00,09:38:00
344,599,13-01-2024,09:36:00,10:06:00
345,329,14-01-2024,09:41:00,10:06:00
346,248,14-01-2024,05:36:00,06:01:00
347,554,14-01-2024,07:02:00,07:57:00
348,502,14-01-2024,06:27:00,07:02:00
349,266,14-01-2024,09:31:00,10:01:00
350,129,14-01-2024,09:44:00,10:39:00
351,345,14-01-2024,09:20:00,10:05:00
352,252,14-01-2024,09:41:00,10:06:00
353,232,14-01-2024,09:56:00,10:51:00
354,614,14-01-2024,09:30:00,10:00:00
355,570,14-01-2024,09:36:00,10:31:00
356,507,14-01-2024,09:09:00,09:54:00
357,252,14-01-2024,09:02:00,09:27:00
358,490,14-01-2024,07:08:00,07:33:00
359,148,14-01-2024,08:11:00,08:41:00
360,618,14-01-2024,06:06:00,06:51:00
361,298,14-01-2024,06:40:00,07:35:00
362,360,14-01-2024,06:41:00,07:16:00
363,259,14-01-2024,09:58:00,10:43:00
364,432,14-01-2024,08:51:00,09:26:00
365,268,14-01-2024,07:31:00,08:01:00
366,611,14-01-2024,05:29:00,05:59:00
367,480,14-01-2024,05:21:00,05:46:00
368,533,14-01-2024,06:35:00,07:00:00
369,28,15-01-2024,08:54:00,09:19:00
370,454,15-01-2024,08:01:00,08:56:00
371,440,15-01-2024,07:14:00,07:49:00
372,188,15-01-2024,08:17:00,08:47:00
373,360,15-01-2024,09:02:00,09:32:00
374,402,15-01-2024,06:43:00,07:13:00
375,58,15-01-2024,09:23:00,09:48:00
376,479,15-01-2024,09:43:00,10:13:00
377,122,15-01-2024,09:02:00,09:27:00
378,101,15-01-2024,07:46:00,08:31:00
379,159,15-01-2024,06:38:00,07:33:00
380,179,15-01-2024,07:43:00,08:38:00
381,74,15-01-2024,07:17:00,08:02:00
382,180,15-01-2024,09:20:00,09:55:00
383,622,15-01-2024,07:36:00,08:11:00
384,444,15-01-2024,05:30:00,06:00:00
385,67,15-01-2024,06:07:00,06:32:00
386,640,15-01-2024,05:58:00,06:33:00
387,439,15-01-2024,08:00:00,08:55:00
388,150,15-01-2024,05:17:00,06:02:00
389,483,15-01-2024,08:01:00,08:36:00
390,315,15-01-2024,06:42:00,07:12:00
391,632,15-01-2024,08:38:00,09:13:00
392,639,15-01-2024,07:22:00,08:07:00
393,407,15-01-2024,07:02:00,07:37:00
394,447,15-01-2024,09:04:00,09:34:00
395,528,15-01-2024,08:58:00,09:43:00
396,406,16-01-2024,08:57:00,09:32:00
397,643,16-01-2024,06:20:00,07:15:00
398,537,16-01-2024,07:35:00,08:30:00
399,442,16-01-2024,08:03:00,08:33:00
400,507,16-01-2024,09:50:00,10:45:00
401,260,16-01-2024,09:24:00,09:49:00
402,276,16-01-2024,05:03:00,05:33:00
403,114,16-01-2024,09:39:00,10:34:00
404,214,16-01-2024,05:31:00,06:16:00
405,65,16-01-2024,09:17:00,09:42:00
406,313,16-01-2024,07:25:00,07:50:00
407,458,16-01-2024,06:17:00,06:42:00
408,175,16-01-2024,06:58:00,07:33:00
409,473,16-01-2024,09:28:00,09:58:00
410,629,16-01-2024,07:42:00,08:37:00
411,130,16-01-2024,09:04:00,09:59:00
412,102,16-01-2024,09:33:00,10:03:00
413,190,16-01-2024,09:15:00,09:50:00
414,382,16-01-2024,09:13:00,09:43:00
415,368,16-01-2024,06:41:00,07:26:00
416,177,16-01-2024,06:50:00,07:20:00
417,123,16-01-2024,07:10:00,07:45:00
418,182,16-01-2024,06:37:00,07:07:00
419,443,16-01-2024,09:02:00,09:37:00
420,437,16-01-2024,08:25:00,08:55:00
421,426,16-01-2024,06:55:00,07:40:00
422,633,16-01-2024,09:57:00,10:27:00
423,273,16-01-2024,06:22:00,07:17:00
424,105,16-01-2024,08:55:00,09:50:00
425,305,16-01-2024,07:06:00,07:41:00
426,540,16-01-2024,08:19:00,09:14:00
427,574,16-01-2024,06:36:00,07:01:00
428,73,16-01-2024,06:42:00,07:17:00
429,348,16-01-2024,07:49:00,08:19:00
430,36,16-01-2024,06:07:00,06:37:00
431,104,16-01-2024,06:04:00,06:39:00
432,343,17-01-2024,07:19:00,07:49:00
433,215,17-01-2024,06:41:00,07:16:00
434,625,17-01-2024,08:56:00,09:31:00
435,243,17-01-2024,09:45:00,10:40:00
436,22,17-01-2024,08:27:00,08:52:00
437,534,17-01-2024,07:06:00,07:36:00
438,306,17-01-2024,05:26:00,06:11:00
439,123,17-01-2024,06:32:00,07:07:00
440,135,17-01-2024,08:10:00,08:40:00
441,385,17-01-2024,06:50:00,07:20:00
442,483,17-01-2024,08:47:00,09:32:00
443,318,17-01-2024,06:07:00,06:37:00
444,446,17-01-2024,05:08:00,05:53:00
445,448,17-01-2024,07:48:00,08:13:00
446,501,17-01-2024,06:32:00,07:17:00
447,648,17-01-2024,09:57:00,10:22:00
448,355,17-01-2024,08:03:00,08:58:00
449,177,17-01-2024,09:12:00,09:42:00
450,540,17-01-2024,05:08:00,05:43:00
451,450,17-01-2024,09:48:00,10:18:00
452,194,17-01-2024,07:43:00,08:38:00
453,139,17-01-2024,07:14:00,07:44:00
454,315,17-01-2024,08:24:00,08:59:00
455,540,17-01-2024,09:03:00,09:48:00
456,431,18-01-2024,06:59:00,07:24:00
457,288,18-01-2024,07:03:00,07:58:00
458,522,18-01-2024,08:21:00,08:46:00
459,183,18-01-2024,08:37:00,09:22:00
460,564,18-01-2024,06:44:00,07:09:00
461,511,18-01-2024,08:11:00,08:36:00
462,306,18-01-2024,09:26:00,10:21:00
463,400,18-01-2024,06:40:00,07:10:00
464,526,18-01-2024,09:28:00,10:23:00
465,471,18-01-2024,06:47:00,07:32:00
466,629,18-01-2024,09:36:00,10:11:00
467,564,18-01-2024,06:52:00,07:37:00
468,343,18-01-2024,08:06:00,08:31:00
469,556,18-01-2024,08:20:00,08:50:00
470,286,18-01-2024,08:09:00,08:44:00
471,631,18-01-2024,07:25:00,07:50:00
472,441,18-01-2024,05:42:00,06:07:00
473,415,18-01-2024,07:34:00,08:04:00
474,340,18-01-2024,07:58:00,08:43:00
475,374,18-01-2024,08:17:00,08:47:00
476,377,18-01-2024,07:32:00,08:27:00
477,589,18-01-2024,08:06:00,08:41:00
478,225,18-01-2024,06:29:00,06:54:00
479,515,18-01-2024,09:19:00,09:44:00
480,575,18-01-2024,07:31:00,08:06:00
481,250,18-01-2024,07:13:00,08:08:00
482,386,18-01-2024,06:40:00,07:10:00
483,346,18-01-2024,07:40:00,08:35:00
484,409,18-01-2024,07:19:00,07:49:00
485,624,19-01-2024,07:47:00,08:22:00
486,488,19-01-2024,06:56:00,07:41:00
487,195,19-01-2024,05:53:00,06:38:00
488,301,19-01-2024,05:25:00,06:10:00
489,412,19-01-2024,08:05:00,08:30:00
490,105,19-01-2024,08:39:00,09:24:00
491,89,19-01-2024,07:15:00,07:50:00
492,603,19-01-2024,09:39:00,10:04:00
493,127,19-01-2024,06:37:00,07:22:00
494,116,19-01-2024,07:44:00,08:14:00
495,265,19-01-2024,06:05:00,06:30:00
496,23,19-01-2024,06:31:00,07:01:00
497,252,19-01-2024,07:12:00,08:07:00
498,51,19-01-2024,05:02:00,05:32:00
499,191,19-01-2024,06:13:00,06:58:00
500,341,19-01-2024,05:51:00,06:36:00
501,491,19-01-2024,06:45:00,07:30:00
502,608,19-01-2024,09:07:00,09:52:00
503,353,19-01-2024,09:13:00,09:58:00
504,503,19-01-2024,09:26:00,09:56:00
505,534,19-01-2024,06:41:00,07:16:00
506,423,19-01-2024,07:48:00,08:18:00
507,383,19-01-2024,08:52:00,09:47:00
508,151,19-01-2024,08:39:00,09:14:00
509,603,19-01-2024,07:16:00,07:41:00
510,113,19-01-2024,07:22:00,08:17:00
511,612,19-01-2024,05:43:00,06:38:00
512,499,19-01-2024,08:59:00,09:44:00
513,413,19-01-2024,09:37:00,10:12:00
514,497,19-01-2024,06:06:00,06:51:00
515,417,20-01-2024,06:02:00,06:37:00
516,516,20-01-2024,08:22:00,08:47:00
517,24,20-01-2024,07:12:00,08:07:00
518,587,20-01-2024,08:59:00,09:29:00
519,403,20-01-2024,09:57:00,10:52:00
520,573,20-01-2024,07:25:00,07:55:00
521,221,20-01-2024,09:48:00,10:33:00
522,228,20-01-2024,09:23:00,09:53:00
523,441,20-01-2024,09:11:00,09:36:00
524,353,20-01-2024,08:26:00,09:21:00
525,61,20-01-2024,07:08:00,08:03:00
526,42,20-01-2024,07:46:00,08:21:00
527,643,20-01-2024,09:47:00,10:32:00
528,346,20-01-2024,07:38:00,08:08:00
529,231,20-01-2024,08:22:00,08:52:00
530,74,20-01-2024,09:55:00,10:20:00
531,102,20-01-2024,09:42:00,10:37:00
532,546,20-01-2024,08:39:00,09:04:00
533,180,20-01-2024,09:58:00,10:33:00
534,537,20-01-2024,09:56:00,10:41:00
535,578,20-01-2024,06:01:00,06:36:00
536,391,20-01-2024,09:03:00,09:33:00
537,119,20-01-2024,09:46:00,10:11:00
538,369,20-01-2024,08:40:00,09:05:00
539,195,20-01-2024,08:37:00,09:12:00
540,196,21-01-2024,08:12:00,08:47:00
541,487,21-01-2024,08:26:00,08:56:00
542,295,21-01-2024,07:11:00,07:56:00
543,575,21-01-2024,06:15:00,06:45:00
544,311,21-01-2024,08:59:00,09:44:00
545,413,21-01-2024,05:26:00,05:51:00
546,329,21-01-2024,06:58:00,07:23:00
547,222,21-01-2024,09:56:00,10:51:00
548,528,21-01-2024,09:42:00,10:27:00
549,410,21-01-2024,08:35:00,09:20:00
550,275,21-01-2024,09:42:00,10:07:00
551,131,21-01-2024,09:26:00,10:21:00
552,72,21-01-2024,08:18:00,08:48:00
553,366,21-01-2024,09:08:00,09:43:00
554,61,21-01-2024,08:27:00,08:52:00
555,346,21-01-2024,06:24:00,07:19:00
556,102,21-01-2024,09:06:00,09:36:00
557,81,21-01-2024,08:46:00,09:31:00
558,603,21-01-2024,09:23:00,09:53:00
559,30,21-01-2024,06:29:00,06:54:00
560,408,21-01-2024,09:48:00,10:23:00
561,211,21-01-2024,07:27:00,08:12:00
562,433,21-01-2024,05:38:00,06:13:00
563,227,21-01-2024,07:25:00,08:20:00
564,636,21-01-2024,05:07:00,05:52:00
565,556,21-01-2024,07:21:00,07:56:00
566,317,21-01-2024,07:46:00,08:41:00
567,409,21-01-2024,07:51:00,08:26:00
568,161,21-01-2024,09:21:00,09:56:00
569,43,21-01-2024,06:02:00,06:47:00
570,68,21-01-2024,07:56:00,08:31:00
571,311,21-01-2024,08:04:00,08:29:00
572,203,21-01-2024,08:52:00,09:47:00
573,540,21-01-2024,09:17:00,09:42:00
574,602,21-01-2024,06:30:00,07:05:00
575,518,21-01-2024,09:24:00,09:54:00
576,142,21-01-2024,07:13:00,07:58:00
577,263,21-01-2024,06:22:00,06:57:00
578,421,21-01-2024,08:33:00,09:03:00
579,236,22-01-2024,07:29:00,08:24:00
580,555,22-01-2024,06:36:00,07:21:00
581,235,22-01-2024,05:58:00,06:28:00
582,577,22-01-2024,09:58:00,10:23:00
583,546,22-01-2024,05:20:00,05:50:00
584,480,22-01-2024,09:41:00,10:26:00
585,55,22-01-2024,08:57:00,09:52:00
586,179,22-01-2024,08:20:00,08:45:00
587,69,22-01-2024,05:37:00,06:22:00
588,549,22-01-2024,05:41:00,06:36:00
589,467,22-01-2024,08:36:00,09:06:00
590,416,22-01-2024,07:35:00,08:30:00
591,440,22-01-2024,07:13:00,07:38:00
592,542,22-01-2024,09:48:00,10:18:00
593,338,22-01-2024,07:54:00,08:29:00
594,421,22-01-2024,08:22:00,08:52:00
595,153,22-01-2024,05:30:00,06:05:00
596,307,22-01-2024,08:11:00,08:36:00
597,596,22-01-2024,09:22:00,10:17:00
598,277,22-01-2024,06:47:00,07:32:00
599,530,22-01-2024,08:57:00,09:52:00
600,380,23-01-2024,07:04:00,07:49:00
601,494,23-01-2024,07:32:00,07:57:00
602,578,23-01-2024,08:43:00,09:18:00
603,648,23-01-2024,07:40:00,08:35:00
604,477,23-01-2024,06:32:00,06:57:00
605,423,23-01-2024,08:56:00,09:41:00
606,88,23-01-2024,09:51:00,10:46:00
